,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,0,0
1,2008-05-18,0,1,2,1
2,2008-05-19,2,0,1,0
3,2008-05-20,1,0,0,2
4,2008-05-21,0,0,0,0
5,2008-05-22,0,0,0,2
6,2008-05-23,1,3,0,0
7,2008-05-24,2,2,1,0
8,2008-05-25,1,0,0,0
9,2008-05-26,1,1,1,0
10,2008-05-27,0,0,1,1
11,2008-05-28,1,2,1,0
12,2008-05-29,2,2,0,1
13,2008-05-30,0,0,1,1
14,2008-05-31,0,1,1,0
15,2008-06-01,0,0,0,2
16,2008-06-02,1,1,1,0
17,2008-06-03,1,0,0,1
18,2008-06-04,1,1,0,1
19,2008-06-05,1,0,0,0
20,2008-06-06,0,1,0,1
21,2008-06-07,2,0,0,0
22,2008-06-08,0,0,0,3
23,2008-06-09,1,0,0,0
