,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,0,0
1,2008-05-18,0,2,0,2
2,2008-05-19,0,0,2,0
3,2008-05-20,0,0,0,0
4,2008-05-21,0,1,2,0
5,2008-05-22,0,0,1,0
6,2008-05-23,0,0,0,0
7,2008-05-24,1,0,0,0
8,2008-05-25,2,0,2,1
9,2008-05-26,2,1,0,0
10,2008-05-27,1,2,1,0
11,2008-05-28,1,2,0,0
12,2008-05-29,1,0,0,1
13,2008-05-30,1,2,2,0
14,2008-05-31,1,0,0,0
15,2008-06-01,0,0,1,0
16,2008-06-02,1,0,1,2
17,2008-06-03,0,1,0,2
18,2008-06-04,1,0,1,1
19,2008-06-05,0,0,0,0
20,2008-06-06,1,2,2,1
21,2008-06-07,0,0,1,0
22,2008-06-08,0,2,2,1
23,2008-06-09,3,1,0,0
